Code,1.1,1.1.1,1.1.1.1,1.1.1.2,1.1.1.2.1,1.1.1.2.2,1.1.1.2.3,1.1.1.3,1.1.1.4,1.1.1.4.1,1.1.1.4.2,1.1.1.4.3,1.1.1.5,1.1.1.5.1,1.1.1.5.2,1.1.1.6,1.1.1.6.1,1.1.1.6.2,1.1.1.7,1.1.1.8,1.1.2,1.1.2.1,1.1.2.1.1,1.1.2.1.2,1.1.2.1.3,1.1.2.1.4,1.1.2.1.5,1.1.2.1.6,1.1.2.2,1.1.2.2.1,1.1.2.2.1.1,1.1.2.2.1.1.1,1.1.2.2.1.1.2,1.1.2.2.1.1.3,1.1.2.2.1.1.3.1,1.1.2.2.1.1.3.2,1.1.2.2.1.1.3.3,1.1.2.2.1.1.3.4,1.1.2.2.1.2,1.1.2.2.2,1.1.2.2.3,1.1.2.2.4,1.1.2.2.5,1.1.2.2.6,1.1.2.2.7,1.1.2.3,1.1.2.4,1.1.2.5,1.1.2.6,1.1.2.7,1.1.2.8,1.2,1.2.1,1.2.1.1,1.2.1.2,1.2.1.3,1.2.1.4,1.2.1.5,1.2.1.6,1.2.1.7,1.2.2,1.2.2.1,1.2.2.2,1.2.2.3,1.2.2.4,2.1,2.1.1,2.1.1.1,2.1.1.2,2.1.1.3,2.1.1.4,2.1.1.5,2.1.1.6,2.1.1.7,2.1.2,2.1.2.1,2.1.2.2,2.1.2.3,2.1.2.4,2.1.2.5,2.1.2.6,2.2,2.2.1,2.2.1.1,2.2.1.2,2.2.1.3,2.2.1.4,2.2.1.5,2.2.1.6,2.2.1.7,2.2.2,2.2.2.1,2.2.2.2,2.2.2.3,2.2.2.4,2.2.2.5,2.2.2.6,2.2.3,2.2.3.1,2.2.3.2,2.2.3.3,2.2.3.4,3.1,3.1.1,3.1.2,3.1.3,3.1.4,3.1.5,3.1.6,3.2,3.2.1,3.2.2,3.2.2.1,3.2.2.2,3.2.2.3,3.2.2.4,3.2.3,3.2.4,3.2.5,3.3,3.3.1,3.3.2,3.3.3,3.3.4,3.3.5,3.3.5.1,3.3.5.2,3.3.5.3,3.3.5.4,3.3.6,3.3.6.1,3.3.6.2,3.3.6.3,3.3.6.4,3.3.6.5,3.3.6.6
000199_000009_003279585,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,9,9,10,0,0,0,0,0,7,7,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,7,0,0,0,0,8,10,7,7,0,8,0,5,6,0,10,9,8,0,0,7,0,0,6,0,8,7,0,0,0,0,0,0,0,9,0
000199_000009_003446308,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,10,10,8,0,8,0,0,0,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,8,9,0,8,9,0,10,0,0,0,0,10,10,9,0,0,9,6,4,8,0,10,0,0,0,0,7,7,0,0,9,0
000199_000009_004845780,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,10,0,0,3,0,0,0,0,4,0,0,0,0,8,9,9,10,7,7,0,0,0,7,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,6,0,10,7,6,0,5,0,0,10,0,0,0,0,7,8,6,0,0,8,0,0,5,0,7,6,0,0,0,0,0,0,0,7,0
000199_000009_005550855,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,9,10,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,8,0,0,0,7,0,8,0,0,0,0,0,7,0,0,0,8,0,8,0,0,0,0,9,10,8,0,7,9,0,9,0,0,7,6,7,6,0,0,8,0,0,0,0,0,0,0,0,0
000199_000009_003455732,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,8,0,9,8,9,0,0,0,0,8,0,7,0,0,0,0,0,0,5,0,5,0,0,0,6,0,0,0,0,0,0,0,6,6,0,0,10,8,6,6,7,8,0,10,0,0,0,0,9,10,7,0,0,6,0,0,0,0,8,0,7,0,0,0,0,0,0,9,0
000199_000009_000305746,0,0,0,9,0,0,9,0,3,0,0,0,0,0,0,2,0,0,0,0,0,10,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,0,4,0,3,0,0,0,0,8,0,0,0,0,9,5,6,10,10,7,8,0,0,6,8,7,5,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,10,0,6,5,7,0,0,10,0,0,0,0,9,3,8,0,0,8,6,0,5,0,6,7,0,0,0,0,0,0,0,3,0
000199_000009_002972150,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,8,7,8,9,0,8,10,0,0,7,8,10,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,0,0,7,6,8,0,0,7,0,7,8,7,7,8,7,9,7,7,0,8,7,7,9,9,8,9,7,0,0,0,0,0,0,8,0
000199_000009_003291384,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,8,7,9,10,8,6,5,0,2,7,9,8,2,8,0,0,0,5,7,4,3,0,0,0,6,5,0,0,0,0,0,6,5,4,0,0,8,7,7,10,6,5,0,9,0,0,0,0,10,8,9,0,0,6,3,0,4,0,5,5,4,0,0,0,0,0,0,6,0
000199_000009_005536834,0,0,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,8,0,0,0,0,0,7,7,0,0,2,10,2,0,2,0,0,0,0,0,0,0,0,0,9,7,8,10,8,7,7,0,3,9,0,8,0,9,0,0,0,5,5,0,3,0,0,0,7,8,6,0,0,0,0,6,7,5,0,0,10,7,7,5,7,8,0,10,9,5,5,3,8,10,7,3,0,10,6,2,5,7,7,5,6,0,0,7,5,0,0,9,0
000199_000009_005546685,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,9,0,0,0,0,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,7,6,0,7,0,0,10,0,0,0,8,10,0,8,0,0,7,0,0,7,0,9,8,0,0,0,0,0,0,0,0,0
