Code,1.1,1.1.1,1.1.1.1,1.1.1.2,1.1.1.2.1,1.1.1.2.2,1.1.1.2.3,1.1.1.3,1.1.1.4,1.1.1.4.1,1.1.1.4.2,1.1.1.4.3,1.1.1.5,1.1.1.5.1,1.1.1.5.2,1.1.1.6,1.1.1.6.1,1.1.1.6.2,1.1.1.7,1.1.1.8,1.1.2,1.1.2.1,1.1.2.1.1,1.1.2.1.2,1.1.2.1.3,1.1.2.1.4,1.1.2.1.5,1.1.2.1.6,1.1.2.2,1.1.2.2.1,1.1.2.2.1.1,1.1.2.2.1.1.1,1.1.2.2.1.1.2,1.1.2.2.1.1.3,1.1.2.2.1.1.3.1,1.1.2.2.1.1.3.2,1.1.2.2.1.1.3.3,1.1.2.2.1.1.3.4,1.1.2.2.1.2,1.1.2.2.2,1.1.2.2.3,1.1.2.2.4,1.1.2.2.5,1.1.2.2.6,1.1.2.2.7,1.1.2.3,1.1.2.4,1.1.2.5,1.1.2.6,1.1.2.7,1.1.2.8,1.2,1.2.1,1.2.1.1,1.2.1.2,1.2.1.3,1.2.1.4,1.2.1.5,1.2.1.6,1.2.1.7,1.2.2,1.2.2.1,1.2.2.2,1.2.2.3,1.2.2.4,2.1,2.1.1,2.1.1.1,2.1.1.2,2.1.1.3,2.1.1.4,2.1.1.5,2.1.1.6,2.1.1.7,2.1.2,2.1.2.1,2.1.2.2,2.1.2.3,2.1.2.4,2.1.2.5,2.1.2.6,2.2,2.2.1,2.2.1.1,2.2.1.2,2.2.1.3,2.2.1.4,2.2.1.5,2.2.1.6,2.2.1.7,2.2.2,2.2.2.1,2.2.2.2,2.2.2.3,2.2.2.4,2.2.2.5,2.2.2.6,2.2.3,2.2.3.1,2.2.3.2,2.2.3.3,2.2.3.4,3.1,3.1.1,3.1.2,3.1.3,3.1.4,3.1.5,3.1.6,3.2,3.2.1,3.2.2,3.2.2.1,3.2.2.2,3.2.2.3,3.2.2.4,3.2.3,3.2.4,3.2.5,3.3,3.3.1,3.3.2,3.3.3,3.3.4,3.3.5,3.3.5.1,3.3.5.2,3.3.5.3,3.3.5.4,3.3.6,3.3.6.1,3.3.6.2,3.3.6.3,3.3.6.4,3.3.6.5,3.3.6.6
000199_000009_008715877,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,7,0,0,0,0,3,0,0,0,0,0,0,10,0,9,8,0,0,0,0,10,3,3,0,10,0,4,4,0,0,0,0,10,9,8,10,9,6,7,0,5,10,10,9,0,6,0,0,4,8,7,0,3,0,5,0,8,9,7,0,0,0,0,5,6,0,0,0,9,9,6,0,8,7,0,9,0,10,5,7,8,10,7,7,0,8,4,0,9,0,9,8,6,0,0,7,0,0,0,8,0
000199_000009_011869885,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,9,0,0,0,7,8,0,7,0,0,0,0,3,0,0,0,0,0,0,10,10,0,10,0,0,5,0,0,0,0,9,0,8,0,0,0,0,10,0,8,0,0,7,0,8,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
000199_000009_005556038,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,9,0,0,0,0,10,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,10,6,9,9,9,6,0,0,10,10,10,7,9,0,0,0,0,0,9,7,0,0,0,7,8,0,0,0,8,0,6,8,0,0,0,10,8,0,3,7,7,0,10,0,10,8,0,8,9,0,10,0,7,7,0,0,0,10,6,7,0,0,9,0,0,0,9,0
000199_000009_005534340,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,10,10,0,0,0,2,3,4,0,3,0,0,0,0,0,0,8,6,0,0,10,0,4,0,7,0,0,0,0,3,0,0,0,0,8,7,0,10,10,9,3,0,4,6,9,9,3,5,0,0,5,6,8,7,3,5,0,0,9,1,4,0,1,6,0,4,6,2,2,0,9,7,6,8,7,6,0,9,9,8,7,9,6,6,8,6,0,10,4,6,7,0,10,8,4,4,0,6,0,0,0,6,0
000199_000009_003456710,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,10,7,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,9,0,0,0,9,8,7,6,0,0,0,8,7,0,7,0,0,0,0,8,0,4,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,10,0,0,0,0,0,10,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
000199_000009_004858998,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,10,9,7,0,0,9,7,9,0,0,0,0,7,0,0,0,10,0,0,0,0,6,5,0,0,0,0,0,8,0,0,0,7,8,7,0,7,7,0,10,0,0,9,0,7,9,10,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,7,0
000199_000009_003163857,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,8,8,0,10,9,0,0,10,9,9,7,6,0,0,0,7,0,8,8,0,0,0,1,0,0,0,0,0,0,2,7,6,1,0,9,1,7,8,7,4,0,9,0,9,7,0,10,2,10,9,0,9,9,9,10,0,10,6,7,7,0,0,0,0,0,2,0
000199_000009_003476513,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,10,5,0,10,10,5,5,5,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,9,8,8,10,10,7,10,0,6,10,8,9,8,6,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,5,7,0,0,0,9,8,7,6,0,7,0,10,0,9,5,8,6,9,0,6,0,9,9,6,9,0,8,7,7,0,0,0,0,0,0,7,0
000199_000009_010169514,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,7,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,9,0,0,0,0,9,0,0,7,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0
000199_000009_005534080,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,7,9,0,0,0,0,0,0,5,6,0,0,0,0,9,0,0,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,9,9,10,0,9,0,0,0,0,0,9,0,8,8,0,7,7,0,0,0,0,0,0,0,0,0
