Code,city,supervisors_1.name,supervisors_1.degree,supervisors_1.title,supervisors_1.other,supervisors_2.name,supervisors_2.degree,supervisors_2.title,supervisors_2.other,opponents_1.name,opponents_1.degree,opponents_1.title,opponents_1.other,opponents_2.name,opponents_2.degree,opponents_2.title,opponents_2.other,opponents_3.name,opponents_3.degree,opponents_3.title,opponents_3.other,specialties_1.code,specialties_1.name,specialties_2.code,specialties_2.name,institution_prepared,degree.degree_level,degree.science_field,candidate_name,defense_council,defense_location,title,year,leading_organization,supervisors,opponents,specialties
mn20240610001,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Бабушкина Ирина Анатольевна,,,Методика обучения визуальному программированию в педагогических вузах,2002,,Кузнецов Александр Андреевич,,
mn20240610002,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Баранников Кирилл Анатольевич,,,Формирование экономической и бизнес компетенций  учащихся учреждений среднего профессионального образования и их влияние на экономическую безопасность личности,2009,,Кузнецов Александр Андреевич,,
mn20240610003,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Бушмелева Наталья Александровна,,,Методика обучения элементам вычислительной геометрии и компьютерной графики будущих учителей информатики,2001,,Кузнецов Александр Андреевич,,
mn20240610004,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Винокурова Екатерина Спиридоновна,,,Задачи как средство уровневой дифференциации обучения информатике в среднем звене школы,2003,,Кузнецов Александр Андреевич,,
mn20240610005,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Захаров Александр Сергеевич,,,Изучение вопросов представления информации в школьном курсе информатики,2008,,Кузнецов Александр Андреевич,,
mn20240610006,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Истомин Иван Петрович,,,Совершенствование обучения школьников представлению информации на уроках информатики,2015,,Кузнецов Александр Андреевич,,
mn20240610007,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Коврова Сардана Егоровна,,,Индивидуализация самостоятельной работы учащихся по информатике на основе использования средств телекоммуникаций,2003,,Кузнецов Александр Андреевич,,
mn20240610008,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Кондакова Марина Леонидовна,,,Дистанционные образовательные технологии как средство организации профильного обучения,2006,,Кузнецов Александр Андреевич,,
mn20240610009,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Минькович Татьяна Владимировна,,,Совершенствование содержания методической подготовки учителя информатики в педвузе,2001,,Кузнецов Александр Андреевич,,
mn20240610010,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Мартынов Георгий Валерьевич,,,Методика обучения использованию компонентов технологий СУБД студентов специальности 032200 - 'Физика',2005,,Кузнецов Александр Андреевич,,
