Code,city,supervisors_1.name,supervisors_1.degree,supervisors_1.title,supervisors_1.other,supervisors_2.name,supervisors_2.degree,supervisors_2.title,supervisors_2.other,opponents_1.name,opponents_1.degree,opponents_1.title,opponents_1.other,opponents_2.name,opponents_2.degree,opponents_2.title,opponents_2.other,opponents_3.name,opponents_3.degree,opponents_3.title,opponents_3.other,specialties_1.code,specialties_1.name,specialties_2.code,specialties_2.name,institution_prepared,degree.degree_level,degree.science_field,candidate_name,defense_council,defense_location,title,year,leading_organization,supervisors,opponents,specialties
,,Атанасян Сергей Левонович,,,,,,,,,,,,,,,,,,,,,,,,,,,Котова Юлия Владимировна,,,,,,,,
,,Атанасян Сергей Левонович,,,,,,,,,,,,,,,,,,,,,,,,,,,Чуйкова Наталия Владимировна,,,,,,,,
,,Ведерников Виктор Александрович,,,,,,,,,,,,,,,,,,,,,,,,,,,Бажанова Екатерина Николаевна,,,,,,,,
,,Ведерников Виктор Александрович,,,,,,,,,,,,,,,,,,,,,,,,,,,Комозина Е.В.,,,,,,,,
,,Ведерников Виктор Александрович,,,,,,,,,,,,,,,,,,,,,,,,,,,Сорокина Марина Михайловна,,,,,,,,
,,Мордкович Александр Григорьевич,,,,,,,,,,,,,,,,,,,,,,,,,Доктор,,Глизбург Вита Иммануиловна,,,,,,,,
,,Мордкович Александр Григорьевич,,,,,,,,,,,,,,,,,,,,,,,,,,,Мардахаева Елена Львовна,,,,,,,,
,,Мордкович Александр Григорьевич,,,,,,,,,,,,,,,,,,,,,,,,,,,Тульчинская Елена Ефимовна,,,,,,,,
,,Мордкович Александр Григорьевич,,,,,,,,,,,,,,,,,,,,,,,,,,,Шуркова Мария Владимировна,,,,,,,,
,,Семенов Павел Владимирович,,,,,,,,,,,,,,,,,,,,,,,,,,,Мирошин Владимир Васильевич,,,,,,,,
,,Семенов Павел Владимирович,,,,,,,,,,,,,,,,,,,,,,,,,,,Зинукова И.В.,,,,,,,,
,,Корешкова Татьяна Александровна,,,,,,,,,,,,,,,,,,,,,,,,,,,Анисова Татьяна Леонидовна,,,,,,,,
,,Корешкова Татьяна Александровна,,,,,,,,,,,,,,,,,,,,,,,,,,,Семеняченко Юлия Александровна,,,,,,,,
,,Денищева Лариса Олеговна,,,,,,,,,,,,,,,,,,,,,,,,,,,Котова Юлия Владимировна,,,,,,,,
,,Денищева Лариса Олеговна,,,,,,,,,,,,,,,,,,,,,,,,,,,Заесёнок Вера Петровна,,,,,,,,
,,Денищева Лариса Олеговна,,,,,,,,,,,,,,,,,,,,,,,,,,,Абрамова Ирина Георгиевна,,,,,,,,
,,Денищева Лариса Олеговна,,,,,,,,,,,,,,,,,,,,,,,,,,,Квитко Елена Сергеевна,,,,,,,,
,,Савинцева Наталья Викторовна,,,,,,,,,,,,,,,,,,,,,,,,,,,Ковпак Ирина Олеговна,,,,,,,,
