Code,city,supervisors_1.name,supervisors_1.degree,supervisors_1.title,supervisors_1.other,supervisors_2.name,supervisors_2.degree,supervisors_2.title,supervisors_2.other,opponents_1.name,opponents_1.degree,opponents_1.title,opponents_1.other,opponents_2.name,opponents_2.degree,opponents_2.title,opponents_2.other,opponents_3.name,opponents_3.degree,opponents_3.title,opponents_3.other,specialties_1.code,specialties_1.name,specialties_2.code,specialties_2.name,institution_prepared,degree.degree_level,degree.science_field,candidate_name,defense_council,defense_location,title,year,leading_organization,supervisors,opponents,specialties
,,Романова Евгения Сергеевна,,,,,,,,,,,,,,,,,,,,,,,,,доктор,,Корнилова Ольга Алексеевна,,,Маргинальная личность как предпосылка формирования студенческого экстремизма,2012,,,,
,,Романова Евгения Сергеевна,,,,,,,,,,,,,,,,,,,,,,,,,кандидат,,Корнилова Ольга Алексеевна,,,Фактор значимых (внутрисемейных) жизненных ситуаций в структуре и стратегии дезадаптивного поведения подростков,2002,,,,
,,Романова Евгения Сергеевна,,,,,,,,,,,,,,,,,,,,,,,,,,,Фарманова Елена Николаевна,,,Психологические особенности профессионального становления личности выпускников средне-специальных образовательных учреждений,2002,,,,
,,Романова Евгения Сергеевна,,,,,,,,,,,,,,,,,,,,,,,,,,,Абушкин Борис Михайлович,,,Психологические особенности зрительной деятельности школьников как фактор продуктивности познавательных процессов,2002,,,,
,,Романова Евгения Сергеевна,,,,,,,,,,,,,,,,,,,,,,,,,,,Прохоров Руслан Евгеньевич,,,Психологические особенности выпускников общеобразовательной школы при подготовке к ЕГЭ,2012,,,,
,,Романова Евгения Сергеевна,,,,,,,,,,,,,,,,,,,,,,,,,,,Гребенников Леонид Раздмирович,,,"Механизмы психологической защиты : Генезис, функционирование, диагностика",1994,,,,
,,Романова Евгения Сергеевна,,,,,,,,,,,,,,,,,,,,,,,,,,,Овчаренко Лариса Юрьевна,,,"Психологические особенности личности школьников и их влияние на успешность сдачи итогового школьного экзамена: на материале ЕГЭ и традиционного экзамена",2013,,,,
,,Романова Евгения Сергеевна,,,,,,,,,,,,,,,,,,,,,,,,,,,Жарикова Татьяна Петровна,,,Психологические особенности ресурсного подхода к психолого-педагогической профилактике факторов риска аддиктивного поведения в подростковом возрасте,2011,,,,
,,Коган Борис Михайлович,,,,,,,,,,,,,,,,,,,,,,,,,,,Иванцов Олег Владимирович,,,Психические состояния старшеклассников как факторы их школьной успеваемости,2012,,,,
,,Рыжов Борис Николаевич,,,,,,,,,,,,,,,,,,,,,,,,,,,Кожинова Ольга Владиленовна,,,Психологические особенности повышения психической работоспособности подростков в кадетских корпусах,2012,,,,
,,Немов Роберт Семенович,,,,,,,,,,,,,,,,,,,,,,,,,доктор,,Алтунина Инна Робертовна,,,Структура и развитие мотивов и мотивации социального поведения,2006,,,,
,,Немов Роберт Семенович,,,,,,,,,,,,,,,,,,,,,,,,,,,Пономарева Елена Алексеевна,,,Интеллектуальный тренинг как средство умственного развития детей старшего дошкольного и младшего школьного возраста,1997,,,,



